"","Sub","Run","Movie","Avg_x","Avg_y","P_Lower","P_Upper","P_Mouth","P_Eye","P_NotROI","P_NotFace","NumFix","Std_x","Std_y"
"1",1,1,1,931,441,0,0.958333333333333,0,0.958333333333333,0.0416666666666667,0.0416666666666667,34,61.2921031075347,26.3995385881368
"2",1,1,2,935,315,0,0.874841972187105,0,0.874841972187105,0.125158027812895,0.125158027812895,44,66.5923488893583,57.369918606197
"3",1,1,3,1007,497,0,0.882666666666667,0,0.882666666666667,0.117333333333333,0.117333333333333,19,66.754347673641,24.3513195991967
"4",1,1,4,910,406,0,0.706036745406824,0,0.706036745406824,0.293963254593176,0.293963254593176,50,70.7866323675529,59.3925257830367
"5",1,1,5,829,432,0,0.88385269121813,0,0.88385269121813,0.11614730878187,0.11614730878187,16,101.077567909847,42.4303429725345
"6",1,1,6,836,415,0,0.704778156996587,0,0.675767918088737,0.324232081911263,0.295221843003413,41,56.7938485169639,78.509101886114
"7",1,1,7,839,373,0,0.911966987620358,0,0.911966987620358,0.0880330123796424,0.0880330123796424,39,85.130745012142,59.3178696038767
"8",1,1,8,877,507,0,1,0,1,0,0,27,107.153233426792,28.5353293590796
"9",1,1,9,924,454,0,0.876059322033898,0,0.876059322033898,0.123940677966102,0.123940677966102,51,92.2135827528086,144.12076605996
"10",1,1,10,881,402,0,0.794871794871795,0,0.740740740740741,0.259259259259259,0.205128205128205,22,96.9778849676927,40.6980961440229
"11",1,2,1,939,487,0,0.925501432664756,0,0.925501432664756,0.0744985673352436,0.0744985673352436,21,103.386240413199,34.6820113930838
"12",1,2,2,874,429,0,0.912114014251782,0,0.871733966745843,0.128266033254157,0.0878859857482185,26,85.2937633157408,53.7287720683694
"13",1,2,3,1065,505,0.0265848670756646,0.936605316973415,0.00613496932515337,0.930470347648262,0.0633946830265849,0.0368098159509202,31,105.460912854779,40.26996367785
"14",1,2,4,1034,404,0,0.991822429906542,0,0.991822429906542,0.00817757009345794,0.00817757009345794,51,82.4912666640975,48.7725381736484
"15",1,2,5,881,450,0,0.963022508038585,0,0.963022508038585,0.0369774919614148,0.0369774919614148,31,96.3609292000432,35.5578742879688
"16",1,2,6,921,548,0,0.970161977834612,0,0.970161977834612,0.0298380221653879,0.0298380221653879,63,108.718214364308,32.502147465511
"17",1,2,7,936,567,0,0.955696202531646,0,0.955696202531646,0.0443037974683544,0.0443037974683544,32,93.1552335692871,33.4777194560331
"18",1,2,8,962,485,0,0.957081545064378,0,0.905579399141631,0.0944206008583691,0.0429184549356223,59,110.718992921643,96.6582496378406
"19",1,2,9,844,544,0,0.980243161094225,0,0.980243161094225,0.0197568389057751,0.0197568389057751,38,63.653874834535,65.2465130401618
"20",1,2,10,927,491,0,0.941588785046729,0,0.913551401869159,0.0864485981308411,0.058411214953271,34,101.781630787448,50.1806516283179
"21",1,3,1,953,437,0.0133333333333333,0.945185185185185,0.00444444444444444,0.93037037037037,0.0651851851851852,0.0414814814814815,44,110.51273806748,48.5317621958871
